epoch,class_name,class_idx,f1,precision,recall
1,Urban fabric,0,0.0,0.0,0.0
1,Industrial or commercial units,1,0.0,0.0,0.0
1,Arable land,2,0.551282,0.661538,0.472527
1,Permanent crops,3,0.026316,0.051282,0.017699
1,Pastures,4,0.0,0.0,0.0
1,Complex cultivation patterns,5,0.059347,0.30303,0.032895
1,Land principally occupied by agriculture,6,0.0,0.0,0.0
1,Agro-forestry areas,7,0.0,0.0,0.0
1,Broad-leaved forest,8,0.016771,0.114286,0.00905
1,Coniferous forest,9,0.555891,0.546535,0.565574
1,Mixed forest,10,0.069686,0.289855,0.039604
1,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
1,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
1,"Transitional woodland, shrub",13,0.089888,0.5,0.049383
1,"Beaches, dunes, sands",14,0.0,0.0,0.0
1,Inland wetlands,15,0.026667,0.083333,0.015873
1,Coastal wetlands,16,0.0,0.0,0.0
1,Inland waters,17,0.0,0.0,0.0
1,Marine waters,18,0.0,0.0,0.0
2,Urban fabric,0,0.419048,0.584071,0.326733
2,Industrial or commercial units,1,0.0,0.0,0.0
2,Arable land,2,0.692737,0.851259,0.583987
2,Permanent crops,3,0.0,0.0,0.0
2,Pastures,4,0.391304,0.72973,0.267327
2,Complex cultivation patterns,5,0.081395,0.35,0.046053
2,Land principally occupied by agriculture,6,0.0,0.0,0.0
2,Agro-forestry areas,7,0.213592,0.916667,0.120879
2,Broad-leaved forest,8,0.0,0.0,0.0
2,Coniferous forest,9,0.667345,0.662626,0.672131
2,Mixed forest,10,0.585018,0.732143,0.487129
2,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
2,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
2,"Transitional woodland, shrub",13,0.2589,0.606061,0.164609
2,"Beaches, dunes, sands",14,0.0,0.0,0.0
2,Inland wetlands,15,0.0,0.0,0.0
2,Coastal wetlands,16,0.0,0.0,0.0
2,Inland waters,17,0.186916,0.625,0.10989
2,Marine waters,18,0.825806,0.920863,0.748538
3,Urban fabric,0,0.50411,0.564417,0.455446
3,Industrial or commercial units,1,0.04,0.25,0.021739
3,Arable land,2,0.741993,0.856263,0.654631
3,Permanent crops,3,0.096774,0.545455,0.053097
3,Pastures,4,0.476852,0.79845,0.339934
3,Complex cultivation patterns,5,0.108883,0.422222,0.0625
3,Land principally occupied by agriculture,6,0.0,0.0,0.0
3,Agro-forestry areas,7,0.413223,0.833333,0.274725
3,Broad-leaved forest,8,0.24015,0.703297,0.144796
3,Coniferous forest,9,0.654699,0.675381,0.635246
3,Mixed forest,10,0.660532,0.682875,0.639604
3,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
3,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
3,"Transitional woodland, shrub",13,0.299532,0.619355,0.197531
3,"Beaches, dunes, sands",14,0.0,0.0,0.0
3,Inland wetlands,15,0.0,0.0,0.0
3,Coastal wetlands,16,0.0,0.0,0.0
3,Inland waters,17,0.2,0.75,0.115385
3,Marine waters,18,0.851613,0.94964,0.77193
