epoch,class_name,class_idx,f1,precision,recall
1,Urban fabric,0,0.32967,0.633803,0.222772
1,Industrial or commercial units,1,0.0,0.0,0.0
1,Arable land,2,0.623077,0.80397,0.508634
1,Permanent crops,3,0.0,0.0,0.0
1,Pastures,4,0.248021,0.618421,0.155116
1,Complex cultivation patterns,5,0.092486,0.380952,0.052632
1,Land principally occupied by agriculture,6,0.0,0.0,0.0
1,Agro-forestry areas,7,0.0,0.0,0.0
1,Broad-leaved forest,8,0.043573,0.588235,0.022624
1,Coniferous forest,9,0.384384,0.719101,0.262295
1,Mixed forest,10,0.444444,0.703863,0.324752
1,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
1,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
1,"Transitional woodland, shrub",13,0.141892,0.396226,0.08642
1,"Beaches, dunes, sands",14,0.0,0.0,0.0
1,Inland wetlands,15,0.0,0.0,0.0
1,Coastal wetlands,16,0.0,0.0,0.0
1,Inland waters,17,0.0,0.0,0.0
1,Marine waters,18,0.794702,0.916031,0.701754
2,Urban fabric,0,0.574074,0.53913,0.613861
2,Industrial or commercial units,1,0.117647,0.6,0.065217
2,Arable land,2,0.758148,0.835539,0.693878
2,Permanent crops,3,0.084034,0.833333,0.044248
2,Pastures,4,0.123839,1.0,0.066007
2,Complex cultivation patterns,5,0.146479,0.509804,0.085526
2,Land principally occupied by agriculture,6,0.0,0.0,0.0
2,Agro-forestry areas,7,0.465116,0.789474,0.32967
2,Broad-leaved forest,8,0.483871,0.596026,0.40724
2,Coniferous forest,9,0.689861,0.669884,0.711066
2,Mixed forest,10,0.70478,0.669039,0.744554
2,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
2,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
2,"Transitional woodland, shrub",13,0.506635,0.612245,0.432099
2,"Beaches, dunes, sands",14,0.0,0.0,0.0
2,Inland wetlands,15,0.0,0.0,0.0
2,Coastal wetlands,16,0.0,0.0,0.0
2,Inland waters,17,0.083333,0.8,0.043956
2,Marine waters,18,0.881029,0.978571,0.80117
3,Urban fabric,0,0.612745,0.606796,0.618812
3,Industrial or commercial units,1,0.290909,0.888889,0.173913
3,Arable land,2,0.77814,0.809847,0.748823
3,Permanent crops,3,0.180451,0.6,0.106195
3,Pastures,4,0.565574,0.745946,0.455446
3,Complex cultivation patterns,5,0.472469,0.513514,0.4375
3,Land principally occupied by agriculture,6,0.0,0.0,0.0
3,Agro-forestry areas,7,0.636943,0.757576,0.549451
3,Broad-leaved forest,8,0.385737,0.68,0.269231
3,Coniferous forest,9,0.695652,0.580027,0.868852
3,Mixed forest,10,0.734982,0.663477,0.823762
3,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
3,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
3,"Transitional woodland, shrub",13,0.54407,0.577367,0.514403
3,"Beaches, dunes, sands",14,0.0,0.0,0.0
3,Inland wetlands,15,0.03125,1.0,0.015873
3,Coastal wetlands,16,0.0,0.0,0.0
3,Inland waters,17,0.536471,0.469136,0.626374
3,Marine waters,18,0.905199,0.948718,0.865497
4,Urban fabric,0,0.678899,0.632479,0.732673
4,Industrial or commercial units,1,0.451613,0.875,0.304348
4,Arable land,2,0.803101,0.793262,0.813187
4,Permanent crops,3,0.241135,0.607143,0.150442
4,Pastures,4,0.632689,0.676692,0.594059
4,Complex cultivation patterns,5,0.49434,0.579646,0.430921
4,Land principally occupied by agriculture,6,0.0,0.0,0.0
4,Agro-forestry areas,7,0.737864,0.66087,0.835165
4,Broad-leaved forest,8,0.444795,0.734375,0.319005
4,Coniferous forest,9,0.693587,0.824859,0.598361
4,Mixed forest,10,0.733265,0.763949,0.704951
4,Natural grassland and sparsely vegetated areas,11,0.1,1.0,0.052632
4,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
4,"Transitional woodland, shrub",13,0.525153,0.650456,0.440329
4,"Beaches, dunes, sands",14,0.0,0.0,0.0
4,Inland wetlands,15,0.089552,0.75,0.047619
4,Coastal wetlands,16,0.0,0.0,0.0
4,Inland waters,17,0.563707,0.948052,0.401099
4,Marine waters,18,0.908517,0.986301,0.842105
5,Urban fabric,0,0.682081,0.819444,0.584158
5,Industrial or commercial units,1,0.444444,0.615385,0.347826
5,Arable land,2,0.808241,0.816,0.800628
5,Permanent crops,3,0.426117,0.348315,0.548673
5,Pastures,4,0.614433,0.818681,0.491749
5,Complex cultivation patterns,5,0.487903,0.630208,0.398026
5,Land principally occupied by agriculture,6,0.0,0.0,0.0
5,Agro-forestry areas,7,0.708995,0.683673,0.736264
5,Broad-leaved forest,8,0.489297,0.754717,0.361991
5,Coniferous forest,9,0.775025,0.75048,0.80123
5,Mixed forest,10,0.640662,0.794721,0.536634
5,Natural grassland and sparsely vegetated areas,11,0.190476,1.0,0.105263
5,"Moors, heathland and sclerophyllous vegetation",12,0.413793,0.439024,0.391304
5,"Transitional woodland, shrub",13,0.616935,0.604743,0.62963
5,"Beaches, dunes, sands",14,0.0,0.0,0.0
5,Inland wetlands,15,0.355556,0.333333,0.380952
5,Coastal wetlands,16,0.0,0.0,0.0
5,Inland waters,17,0.640569,0.909091,0.494505
5,Marine waters,18,0.924471,0.95625,0.894737
6,Urban fabric,0,0.674286,0.797297,0.584158
6,Industrial or commercial units,1,0.529412,0.818182,0.391304
6,Arable land,2,0.795608,0.86106,0.739403
6,Permanent crops,3,0.282051,0.511628,0.19469
6,Pastures,4,0.616,0.781726,0.508251
6,Complex cultivation patterns,5,0.5,0.69186,0.391447
6,Land principally occupied by agriculture,6,0.0,0.0,0.0
6,Agro-forestry areas,7,0.737327,0.634921,0.879121
6,Broad-leaved forest,8,0.544966,0.669967,0.459276
6,Coniferous forest,9,0.758751,0.704745,0.821721
6,Mixed forest,10,0.727273,0.703704,0.752475
6,Natural grassland and sparsely vegetated areas,11,0.297872,0.777778,0.184211
6,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
6,"Transitional woodland, shrub",13,0.597627,0.628118,0.569959
6,"Beaches, dunes, sands",14,0.0,0.0,0.0
6,Inland wetlands,15,0.25974,0.714286,0.15873
6,Coastal wetlands,16,0.0,0.0,0.0
6,Inland waters,17,0.680135,0.878261,0.554945
6,Marine waters,18,0.921212,0.955975,0.888889
7,Urban fabric,0,0.656626,0.838462,0.539604
7,Industrial or commercial units,1,0.461538,0.789474,0.326087
7,Arable land,2,0.782759,0.868069,0.712716
7,Permanent crops,3,0.377143,0.532258,0.292035
7,Pastures,4,0.612836,0.822222,0.488449
7,Complex cultivation patterns,5,0.570543,0.539589,0.605263
7,Land principally occupied by agriculture,6,0.0,0.0,0.0
7,Agro-forestry areas,7,0.709091,0.604651,0.857143
