epoch,class_name,class_idx,f1,precision,recall
1,Urban fabric,0,0.119163,0.088305,0.183168
1,Industrial or commercial units,1,0.051661,0.027379,0.456522
1,Arable land,2,0.60562,0.437982,0.981162
1,Permanent crops,3,0.033755,0.032258,0.035398
1,Pastures,4,0.308468,0.222061,0.504951
1,Complex cultivation patterns,5,0.025723,0.571429,0.013158
1,Land principally occupied by agriculture,6,0.0,0.0,0.0
1,Agro-forestry areas,7,0.125957,0.068266,0.813187
1,Broad-leaved forest,8,0.08284,0.323077,0.047511
1,Coniferous forest,9,0.487382,0.396154,0.633197
1,Mixed forest,10,0.406504,0.417537,0.39604
1,Natural grassland and sparsely vegetated areas,11,0.025,0.014851,0.078947
1,"Moors, heathland and sclerophyllous vegetation",12,0.086486,0.057554,0.173913
1,"Transitional woodland, shrub",13,0.489168,0.37037,0.720165
1,"Beaches, dunes, sands",14,0.011429,0.005917,0.166667
1,Inland wetlands,15,0.0,0.0,0.0
1,Coastal wetlands,16,0.0,0.0,0.0
1,Inland waters,17,0.167364,0.103359,0.43956
1,Marine waters,18,0.191045,0.195122,0.187135
2,Urban fabric,0,0.0,0.0,0.0
2,Industrial or commercial units,1,0.0,0.0,0.0
2,Arable land,2,0.264935,0.766917,0.160126
2,Permanent crops,3,0.0,0.0,0.0
2,Pastures,4,0.025316,0.307692,0.013201
2,Complex cultivation patterns,5,0.0,0.0,0.0
2,Land principally occupied by agriculture,6,0.0,0.0,0.0
2,Agro-forestry areas,7,0.0,0.0,0.0
2,Broad-leaved forest,8,0.0,0.0,0.0
2,Coniferous forest,9,0.0,0.0,0.0
2,Mixed forest,10,0.0,0.0,0.0
2,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
2,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
2,"Transitional woodland, shrub",13,0.0,0.0,0.0
2,"Beaches, dunes, sands",14,0.0,0.0,0.0
2,Inland wetlands,15,0.0,0.0,0.0
2,Coastal wetlands,16,0.0,0.0,0.0
2,Inland waters,17,0.0,0.0,0.0
2,Marine waters,18,0.0,0.0,0.0
3,Urban fabric,0,0.0,0.0,0.0
3,Industrial or commercial units,1,0.0,0.0,0.0
3,Arable land,2,0.640288,0.749474,0.55887
3,Permanent crops,3,0.0,0.0,0.0
3,Pastures,4,0.0,0.0,0.0
3,Complex cultivation patterns,5,0.0,0.0,0.0
3,Land principally occupied by agriculture,6,0.0,0.0,0.0
3,Agro-forestry areas,7,0.0,0.0,0.0
3,Broad-leaved forest,8,0.0,0.0,0.0
3,Coniferous forest,9,0.0,0.0,0.0
3,Mixed forest,10,0.0,0.0,0.0
3,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
3,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
3,"Transitional woodland, shrub",13,0.0,0.0,0.0
3,"Beaches, dunes, sands",14,0.0,0.0,0.0
3,Inland wetlands,15,0.0,0.0,0.0
3,Coastal wetlands,16,0.0,0.0,0.0
3,Inland waters,17,0.0,0.0,0.0
3,Marine waters,18,0.746377,0.980952,0.602339
4,Urban fabric,0,0.0,0.0,0.0
4,Industrial or commercial units,1,0.0,0.0,0.0
4,Arable land,2,0.723192,0.768551,0.682889
4,Permanent crops,3,0.0,0.0,0.0
4,Pastures,4,0.0,0.0,0.0
4,Complex cultivation patterns,5,0.032154,0.714286,0.016447
4,Land principally occupied by agriculture,6,0.0,0.0,0.0
4,Agro-forestry areas,7,0.0,0.0,0.0
4,Broad-leaved forest,8,0.0,0.0,0.0
4,Coniferous forest,9,0.634146,0.731903,0.559426
4,Mixed forest,10,0.630262,0.740642,0.548515
4,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
4,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
4,"Transitional woodland, shrub",13,0.051485,0.684211,0.026749
4,"Beaches, dunes, sands",14,0.0,0.0,0.0
4,Inland wetlands,15,0.0,0.0,0.0
4,Coastal wetlands,16,0.0,0.0,0.0
4,Inland waters,17,0.0,0.0,0.0
4,Marine waters,18,0.837662,0.941606,0.754386
5,Urban fabric,0,0.379562,0.722222,0.257426
5,Industrial or commercial units,1,0.0,0.0,0.0
5,Arable land,2,0.735743,0.753289,0.718995
5,Permanent crops,3,0.0,0.0,0.0
5,Pastures,4,0.0,0.0,0.0
5,Complex cultivation patterns,5,0.109195,0.431818,0.0625
5,Land principally occupied by agriculture,6,0.0,0.0,0.0
5,Agro-forestry areas,7,0.0,0.0,0.0
5,Broad-leaved forest,8,0.008989,0.666667,0.004525
5,Coniferous forest,9,0.586335,0.744479,0.483607
5,Mixed forest,10,0.524224,0.703333,0.417822
